max,mean,min
21.860502815,2.773143505405786,0.494095989
9.407400321,2.249646615979546,0.369849724
15.326278285,3.2345311842901903,0.496053554
19.285640315,2.8599738197546767,0.491702478
15.580530711,2.9331212601419554,0.579758722
11.266056571,2.7226460468358895,0.523134479
12.844631417,2.7442468356442187,0.616185922
15.260132657,3.001465706215171,0.56207206
17.521369496,2.9745931873851172,0.389629043
16.791082325,3.190031634440757,0.606955028
12.770011174,2.992990862505452,0.59670026
9.519945535,2.6545524524678434,0.490310146
10.576863041,2.768334528477924,0.635300614
10.728070408,2.5145095104694657,0.57135768
9.450764051,2.2073596049611472,0.615824263
6.541017536,2.160149678442266,0.744299392
5.12836178,2.035028056133218,0.418791886
5.936337156,2.143325384342593,0.61173901
