max,mean,min
14.968286342,3.1227749412174224,0.802201144
14.35477075,3.084860688896435,0.716725735
14.351492419,3.1945927093378716,0.749041656
15.206759358,3.0921009520864846,0.765669246
15.206759358,3.103659844026596,0.719962188
14.868131348,3.5749336529611258,0.615335812
15.750877539,3.3041867680242576,0.673999591
19.509641391,3.5407387409255544,0.61603766
14.874296287,3.321263772062373,0.612489188
19.861154204,3.2253591815884843,0.656650374
15.127639477,3.3444159768740067,0.676653887
15.237989359,3.2482529008378918,0.694410062
15.421825523,3.183606536210501,0.683322437
15.469556476,3.2078604599712555,0.687760749
14.744153731,3.1668031609440446,0.782297279
15.04834888,3.2036397382967947,0.658997604
15.062328131,3.333295695264585,0.727739631
15.355800465,3.3129325554117846,0.730466127
15.551346954,3.4182449624553697,0.711893441
15.498290446,3.5857608403792716,0.787292342
15.161246935,3.358982887080162,0.698216781
16.091057109,2.876296309612245,0.55945544
16.088326277,3.5750142587556066,0.752131566
15.915330278,3.4868703405814157,0.718899418
15.915330278,3.2375494399648477,0.787836096
15.447096022,3.3238588401395246,0.504879639
16.235765396,3.3752344963341296,0.504879639
94.61801961,3.8765178910362788,0.594053085
19.257666852,3.973377918233063,0.770975272
15.317896606,3.694017246685618,0.60595553
14.95342683,4.144087614246487,0.761959524
